NC_007795.1	1280
NZ_CP035288.1	1282
NZ_CP035289.1	1282
NZ_CP035290.1	1282
NZ_CP035291.1	1283
NZ_CP035292.1	1283
NZ_CP035293.1	1283
NZ_CP033732.1	1290
NZ_CP033731.1	1290
NZ_CP033733.1	1290
NZ_CP145258.1	29388
NZ_CP145259.1	29388
NZ_CP145260.1	29388
NZ_CP014022.1	28035
NC_002695.2	562
NC_002127.1	562
NC_002128.1	562
NC_016845.1	573
NC_016838.1	573
NC_016846.1	573
NC_016839.1	573
NC_016840.1	573
NC_016847.1	573
NC_016841.1	573
NZ_LR134333.1	571
NZ_OW968328.1	550
NZ_OW968329.1	550
NZ_OW968330.1	550
NZ_LR890181.1	546
NZ_LR890182.1	546
NZ_LR890183.1	546
NZ_CP127881.1	615
NZ_CP127882.1	615
NC_010554.1	584
NC_010555.1	584
NZ_CP034944.1	582
NC_002516.2	287
NZ_CP045110.1	470
NZ_CP045108.1	470
NZ_CP045109.1	470
NZ_KB944666.1	1351
NZ_KB944667.1	1351
NZ_KB944668.1	1351
NZ_CP038996.1	1352
NZ_CP038997.1	1352
NZ_LN831051.1	1313
NZ_LS483338.1	1314
NZ_CP012480.1	1311
NZ_CP012742.1	1311
NZ_CP066069.1	1334
NZ_CP066070.1	1334
NZ_LR134327.1	732
NC_000001.11	9606
NT_187361.1	9606
NT_187362.1	9606
NT_187363.1	9606
NT_187364.1	9606
NT_187365.1	9606
NT_187366.1	9606
NT_187367.1	9606
NT_187368.1	9606
NT_187369.1	9606
NC_000002.12	9606
NT_187370.1	9606
NT_187371.1	9606
NC_000003.12	9606
NT_167215.1	9606
NC_000004.12	9606
NT_113793.3	9606
NC_000005.10	9606
NT_113948.1	9606
NC_000006.12	9606
NC_000007.14	9606
NC_000008.11	9606
NC_000009.12	9606
NT_187372.1	9606
NT_187373.1	9606
NT_187374.1	9606
NT_187375.1	9606
NC_000010.11	9606
NC_000011.10	9606
NC_000012.12	9606
NC_000013.11	9606
NC_000014.9	9606
NT_113796.3	9606
NT_167219.1	9606
NT_187377.1	9606
NT_113888.1	9606
NT_187378.1	9606
NT_187379.1	9606
NT_187380.1	9606
NT_187381.1	9606
NC_000015.10	9606
NT_187382.1	9606
NC_000016.10	9606
NT_187383.1	9606
NC_000017.11	9606
NT_113930.2	9606
NT_187384.1	9606
NT_187385.1	9606
NC_000018.10	9606
NC_000019.10	9606
NC_000020.11	9606
NC_000021.9	9606
NC_000022.11	9606
NT_187386.1	9606
NT_187387.1	9606
NT_187388.1	9606
NT_187390.1	9606
NT_187391.1	9606
NT_187392.1	9606
NT_187393.1	9606
NT_187394.1	9606
NC_000023.11	9606
NC_000024.10	9606
NT_187395.1	9606
NT_187396.1	9606
NT_187397.1	9606
NT_187398.1	9606
NT_187399.1	9606
NT_187400.1	9606
NT_187401.1	9606
NT_187402.1	9606
NT_187403.1	9606
NT_187404.1	9606
NT_187405.1	9606
NT_187406.1	9606
NT_187407.1	9606
NT_187408.1	9606
NT_187409.1	9606
NT_187410.1	9606
NT_187411.1	9606
NT_187412.1	9606
NT_187413.1	9606
NT_187414.1	9606
NT_187415.1	9606
NT_187416.1	9606
NT_187417.1	9606
NT_187418.1	9606
NT_187419.1	9606
NT_187420.1	9606
NT_187421.1	9606
NT_187422.1	9606
NT_187423.1	9606
NT_187424.1	9606
NT_187425.1	9606
NT_187426.1	9606
NT_187427.1	9606
NT_187428.1	9606
NT_187429.1	9606
NT_187430.1	9606
NT_187431.1	9606
NT_187432.1	9606
NT_187433.1	9606
NT_187434.1	9606
NT_187435.1	9606
NT_187436.1	9606
NT_187437.1	9606
NT_187438.1	9606
NT_187439.1	9606
NT_187440.1	9606
NT_187441.1	9606
NT_187442.1	9606
NT_187443.1	9606
NT_187444.1	9606
NT_187445.1	9606
NT_187446.1	9606
NT_187447.1	9606
NT_187448.1	9606
NT_187449.1	9606
NT_187450.1	9606
NT_187451.1	9606
NT_187452.1	9606
NT_187453.1	9606
NT_187454.1	9606
NT_187455.1	9606
NT_187456.1	9606
NT_187457.1	9606
NT_187458.1	9606
NT_187459.1	9606
NT_187460.1	9606
NT_187461.1	9606
NT_187462.1	9606
NT_187463.1	9606
NT_187464.1	9606
NT_187465.1	9606
NT_187466.1	9606
NT_187467.1	9606
NT_187468.1	9606
NT_187469.1	9606
NT_187470.1	9606
NT_187471.1	9606
NT_187472.1	9606
NT_187473.1	9606
NT_187474.1	9606
NT_187475.1	9606
NT_187476.1	9606
NT_187477.1	9606
NT_187478.1	9606
NT_187479.1	9606
NT_187480.1	9606
NT_187481.1	9606
NT_187482.1	9606
NT_187483.1	9606
NT_187484.1	9606
NT_187485.1	9606
NT_187486.1	9606
NT_187487.1	9606
NT_187488.1	9606
NT_187489.1	9606
NT_187490.1	9606
NT_187491.1	9606
NT_187492.1	9606
NT_187493.1	9606
NT_187494.1	9606
NT_187495.1	9606
NT_187496.1	9606
NT_113901.1	9606
NT_167213.1	9606
NT_167214.1	9606
NT_167218.1	9606
NT_187497.1	9606
NT_167220.1	9606
NT_167208.1	9606
NT_187498.1	9606
NT_187499.1	9606
NT_187500.1	9606
NT_187501.1	9606
NT_187502.1	9606
NT_187503.1	9606
NT_187504.1	9606
NT_187505.1	9606
NT_187506.1	9606
NT_187508.1	9606
NT_187509.1	9606
NT_187510.1	9606
NT_187511.1	9606
NT_187512.1	9606
NT_167209.1	9606
NT_187513.1	9606
NT_167211.2	9606
NT_113889.1	9606
NW_012132914.1	9606
NW_015495298.1	9606
NW_025791756.1	9606
NW_011332688.1	9606
NW_014040926.1	9606
NW_009646195.1	9606
NW_018654706.1	9606
NW_019805487.1	9606
NW_009646194.1	9606
NW_018654707.1	9606
NW_014040925.1	9606
NW_017852928.1	9606
NW_009646196.1	9606
NW_025791753.1	9606
NW_025791758.1	9606
NW_025791759.1	9606
NW_025791754.1	9606
NW_011332687.1	9606
NW_018654708.1	9606
NW_014040927.1	9606
NW_025791757.1	9606
NW_025791755.1	9606
NW_021159988.1	9606
NW_025791767.1	9606
NW_025791768.1	9606
NW_025791766.1	9606
NW_025791763.1	9606
NW_012132915.1	9606
NW_025791760.1	9606
NW_025791765.1	9606
NW_018654709.1	9606
NW_025791762.1	9606
NW_025791761.1	9606
NW_025791764.1	9606
NW_015495299.1	9606
NW_018654710.1	9606
NW_011332690.1	9606
NW_021159987.1	9606
NW_011332689.1	9606
NW_017363813.1	9606
NW_025791770.1	9606
NW_025791771.1	9606
NW_009646197.1	9606
NW_012132916.1	9606
NW_011332691.1	9606
NW_021159989.1	9606
NW_018654711.1	9606
NW_012132917.1	9606
NW_009646198.1	9606
NW_019805491.1	9606
NW_019805492.1	9606
NW_019805490.1	9606
NW_019805489.1	9606
NW_019805488.1	9606
NW_025791769.1	9606
NW_021159990.1	9606
NW_021159993.1	9606
NW_013171799.1	9606
NW_025791774.1	9606
NW_021159992.1	9606
NW_021159994.1	9606
NW_021159991.1	9606
NW_021159995.1	9606
NW_013171800.1	9606
NW_013171801.1	9606
NW_025791772.1	9606
NW_017363814.1	9606
NW_025791773.1	9606
NW_015495301.1	9606
NW_015495300.1	9606
NW_025791777.1	9606
NW_018654712.1	9606
NW_025791776.1	9606
NW_009646199.1	9606
NW_016107297.1	9606
NW_025791779.1	9606
NW_021159996.1	9606
NW_025791778.1	9606
NW_016107298.1	9606
NW_025791775.1	9606
NW_018654713.1	9606
